'2015-10-08 11:15:00','105','NY City Tech','0.032066658139228820000000000000'
'2015-10-08 11:15:00','204','U at Buffalo','0.020733170211315155000000000000'
'2015-10-08 11:15:00','102','Sacramento State','0.047466579824686050000000000000'
'2015-10-08 11:15:00','206','West Virginia/Rome','0.107899896800518040000000000000'
'2015-10-08 11:15:00','207','Team NY Alfred','0.392000000000000000000000000000'
'2015-10-08 11:15:00','202','Mass/Central America','0.080966562032699580000000000000'
'2015-10-08 11:15:00','108','Missouri S&T','0.058499850332736970000000000000'
'2015-10-08 11:15:00','101','Crowder/Drury','0.005866635125130415000000000000'
'2015-10-08 11:15:00','110','Stevens','0.037333130836486816000000000000'
'2015-10-08 11:15:00','203','Team Orange County','0.284804612398147600000000000000'
'2015-10-08 11:15:00','106','Clemson','0.086066640913486480000000000000'
'2015-10-08 11:15:00','107','Cal Poly','0.048999980092048645000000000000'
'2015-10-08 11:15:00','104','Texas/Germany','0.033866491168737410000000000000'
'2015-10-08 11:15:00','201','UC Davis','0.077866517007350920000000000000'
'2015-10-08 11:30:00','105','NY City Tech','0.068133316934108730000000000000'
'2015-10-08 11:30:00','204','U at Buffalo','0.047732999548316002000000000000'
'2015-10-08 11:30:00','102','Sacramento State','0.094899829477071760000000000000'
'2015-10-08 11:30:00','206','West Virginia/Rome','0.272699691355228440000000000000'
'2015-10-08 11:30:00','110','Stevens','0.078132901340723036000000000000'
'2015-10-08 11:30:00','207','Team NY Alfred','0.835000000000000000000000000000'
'2015-10-08 11:30:00','202','Mass/Central America','0.140699781477451320000000000000'
'2015-10-08 11:30:00','101','Crowder/Drury','0.033066605683416128000000000000'
'2015-10-08 11:30:00','108','Missouri S&T','0.127766363322734830000000000000'
'2015-10-08 11:30:00','106','Clemson','0.166133284568786620000000000000'
'2015-10-08 11:30:00','203','Team Orange County','0.952362030744552600000000000000'
'2015-10-08 11:30:00','107','Cal Poly','0.097866639494895935000000000000'
'2015-10-08 11:30:00','104','Texas/Germany','0.069266323000192640000000000000'
'2015-10-08 11:30:00','201','UC Davis','0.231966413557529450000000000000'
'2015-10-08 11:45:00','201','UC Davis','1.305766381323337450000000000000'
'2015-10-08 11:45:00','105','NY City Tech','0.094799967482686040000000000000'
'2015-10-08 11:45:00','204','U at Buffalo','0.066632820293307304000000000000'
'2015-10-08 11:45:00','102','Sacramento State','0.130299728363752360000000000000'
'2015-10-08 11:45:00','110','Stevens','0.150865998119115826000000000000'
'2015-10-08 11:45:00','206','West Virginia/Rome','1.405699707567691840000000000000'
'2015-10-08 11:45:00','202','Mass/Central America','0.206032998859882350000000000000'
'2015-10-08 11:45:00','207','Team NY Alfred','1.338000000000000000000000000000'
'2015-10-08 11:45:00','101','Crowder/Drury','0.045799905899912118000000000000'
'2015-10-08 11:45:00','108','Missouri S&T','0.212899543344974520000000000000'
'2015-10-08 11:45:00','106','Clemson','0.245999917387962340000000000000'
'2015-10-08 11:45:00','203','Team Orange County','1.395002216100692740000000000000'
'2015-10-08 11:45:00','107','Cal Poly','0.156066618859767915000000000000'
'2015-10-08 11:45:00','104','Texas/Germany','0.120366133749485014000000000000'
'2015-10-08 12:00:00','201','UC Davis','2.344866432249545950000000000000'
'2015-10-08 12:00:00','105','NY City Tech','0.118533287197351453000000000000'
'2015-10-08 12:00:00','204','U at Buffalo','0.094432650133967399000000000000'
'2015-10-08 12:00:00','110','Stevens','0.318465795367956156000000000000'
'2015-10-08 12:00:00','102','Sacramento State','0.413566332310438160000000000000'
'2015-10-08 12:00:00','206','West Virginia/Rome','2.674399711191654240000000000000'
'2015-10-08 12:00:00','207','Team NY Alfred','1.949000000000000000000000000000'
'2015-10-08 12:00:00','202','Mass/Central America','0.443432904779911050000000000000'
'2015-10-08 12:00:00','101','Crowder/Drury','0.048466539941728114000000000000'
'2015-10-08 12:00:00','108','Missouri S&T','0.296899385750293730000000000000'
'2015-10-08 12:00:00','203','Team Orange County','1.872256219387054440000000000000'
'2015-10-08 12:00:00','106','Clemson','0.325466558337211610000000000000'
'2015-10-08 12:00:00','107','Cal Poly','0.210733268409967425000000000000'
'2015-10-08 12:00:00','104','Texas/Germany','0.132265944033861158000000000000'
'2015-10-08 12:15:00','104','Texas/Germany','0.143832423724234102000000000000'
'2015-10-08 12:15:00','201','UC Davis','2.670932926237583050000000000000'
'2015-10-08 12:15:00','105','NY City Tech','0.141933286562561986000000000000'
'2015-10-08 12:15:00','110','Stevens','0.359398905187845226000000000000'
'2015-10-08 12:15:00','204','U at Buffalo','0.114132480695843696000000000000'
'2015-10-08 12:15:00','102','Sacramento State','0.483999568969011310000000000000'
'2015-10-08 12:15:00','206','West Virginia/Rome','3.566999591886997240000000000000'
'2015-10-08 12:15:00','207','Team NY Alfred','2.507000000000000000000000000000'
'2015-10-08 12:15:00','202','Mass/Central America','0.794432796537876150000000000000'
'2015-10-08 12:15:00','203','Team Orange County','2.287657707929611200000000000000'
'2015-10-08 12:15:00','101','Crowder/Drury','0.050599853973835705600000000000'
'2015-10-08 12:15:00','106','Clemson','0.409199871122837070000000000000'
'2015-10-08 12:15:00','108','Missouri S&T','0.368132568895816800000000000000'
'2015-10-08 12:15:00','107','Cal Poly','0.256133247166872025000000000000'
'2015-10-08 12:30:00','107','Cal Poly','0.290933236479759215000000000000'
'2015-10-08 12:30:00','104','Texas/Germany','0.160865583457052706000000000000'
'2015-10-08 12:30:00','201','UC Davis','2.928732730448245890000000000000'
'2015-10-08 12:30:00','110','Stevens','0.394232023507356640000000000000'
